Question,GamesPlayed,KFactor,RatingBefore,OppRating,ExpectedScore,ActualScore,RatingAfter,Change
1,0,100,1400,1235,0.7211,0,1328,-72
2,1,100,1328,1435,0.3507,1,1393,65
3,2,100,1393,1279,0.6584,1,1427,34
4,3,100,1427,1610,0.2586,0,1401,-26
5,4,100,1401,1410,0.4871,0,1352,-49
6,5,100,1352,1344,0.5115,0,1301,-51
7,6,100,1301,1435,0.3162,0,1269,-32
8,7,100,1269,1402,0.3174,0,1237,-32
9,8,100,1237,1319,0.3841,0,1199,-38
10,9,100,1199,1369,0.2732,0,1172,-27
11,10,100,1172,1087,0.6199,0,1110,-62
12,11,100,1110,1055,0.5785,0,1052,-58
13,12,100,1052,979,0.6035,1,1092,40
14,13,100,1092,905,0.7458,0,1017,-75
15,14,100,1017,903,0.6584,1,1051,34
16,15,100,1051,996,0.5785,1,1093,42
17,16,100,1093,1158,0.4075,0,1052,-41
18,17,100,1052,931,0.6674,1,1085,33
19,18,100,1085,910,0.7325,1,1112,27
20,19,100,1112,1051,0.5869,0,1053,-59
21,20,100,1053,967,0.6213,1,1091,38
22,21,100,1091,1217,0.3262,0,1058,-33
23,22,100,1058,869,0.7480,0,983,-75
24,23,100,983,825,0.7129,0,912,-71
25,24,100,912,987,0.3937,1,973,61
26,25,100,973,810,0.7188,1,1001,28
27,26,100,1001,907,0.6321,1,1038,37
28,27,100,1038,847,0.7502,1,1063,25
29,28,100,1063,891,0.7291,1,1090,27
30,29,100,1090,956,0.6838,0,1022,-68
31,30,100,1022,1170,0.2990,0,992,-30
32,31,100,992,988,0.5058,1,1041,49
33,32,100,1041,991,0.5715,1,1084,43
34,33,100,1084,1191,0.3507,0,1049,-35
35,34,100,1049,1193,0.3039,0,1019,-30
36,35,100,1019,1057,0.4455,0,974,-45
37,36,100,974,886,0.6240,0,912,-62
38,37,100,912,878,0.5488,0,857,-55
39,38,100,857,938,0.3855,0,818,-39
40,39,100,818,928,0.3468,1,883,65
41,40,100,883,796,0.6227,0,821,-62
42,41,100,821,930,0.3481,1,886,65
43,42,100,886,970,0.3814,1,948,62
44,43,100,948,862,0.6213,0,886,-62
45,44,100,886,781,0.6467,0,821,-65
46,45,60,821,810,0.5158,1,850,29
47,46,60,850,1027,0.2652,0,834,-16
48,47,60,834,1005,0.2720,0,818,-16
49,48,60,818,623,0.7545,1,833,15
50,49,60,833,653,0.7381,1,849,16
51,50,60,849,682,0.7234,1,866,17
52,51,60,866,844,0.5316,0,834,-32
53,52,60,834,973,0.3100,1,875,41
54,53,60,875,942,0.4048,0,851,-24
55,54,60,851,815,0.5516,0,818,-33
56,55,60,818,634,0.7425,1,833,15
57,56,60,833,769,0.5911,1,858,25
58,57,60,858,761,0.6361,1,880,22
59,58,60,880,784,0.6347,1,902,22
60,59,60,902,1077,0.2675,0,886,-16
61,60,60,886,1079,0.2477,0,871,-15
62,61,60,871,859,0.5173,0,840,-31
63,62,60,840,884,0.4370,0,814,-26
64,63,60,814,816,0.4971,1,844,30
65,64,60,844,856,0.4827,1,875,31
66,65,60,875,750,0.6725,1,895,20
67,66,60,895,983,0.3760,0,872,-23
68,67,60,872,954,0.3841,1,909,37
69,68,60,909,1002,0.3693,1,947,38
70,69,60,947,788,0.7141,1,964,17
71,70,60,964,820,0.6961,0,922,-42
72,71,60,922,834,0.6240,0,885,-37
73,72,60,885,993,0.3494,0,864,-21
74,73,60,864,1046,0.2597,0,848,-16
75,74,60,848,775,0.6035,1,872,24
76,75,60,872,888,0.4770,1,903,31
77,76,60,903,711,0.7512,1,918,15
78,77,60,918,989,0.3992,1,954,36
79,78,60,954,854,0.6401,1,976,22
80,79,60,976,976,0.5000,1,1006,30
81,80,60,1006,1080,0.3951,0,982,-24
82,81,60,982,1113,0.3199,0,963,-19
83,82,60,963,929,0.5488,1,990,27
84,83,60,990,1010,0.4712,0,962,-28
85,84,60,962,1020,0.4173,0,937,-25
86,85,60,937,1111,0.2686,0,921,-16
87,86,60,921,824,0.6361,0,883,-38
88,87,60,883,989,0.3520,0,862,-21
89,88,60,862,900,0.4455,1,895,33
90,89,60,895,1070,0.2675,0,879,-16
91,90,60,879,936,0.4187,0,854,-25
92,91,60,854,891,0.4470,1,887,33
93,92,60,887,752,0.6851,1,906,19
94,93,60,906,975,0.4020,1,942,36
95,94,60,942,877,0.5925,1,966,24
96,95,60,966,1101,0.3149,0,947,-19
97,96,60,947,975,0.4598,1,979,32
98,97,60,979,1079,0.3599,0,957,-22
99,98,60,957,887,0.5994,1,981,24
100,99,60,981,880,0.6414,1,1003,22
