Question,GamesPlayed,KFactor,RatingBefore,OppRating,ExpectedScore,ActualScore,RatingAfter,Change
1,0,100,500,507,0.4899,1,551,51
2,1,100,551,510,0.5587,0,495,-56
3,2,100,495,473,0.5316,1,542,47
4,3,100,542,461,0.6145,1,581,39
5,4,100,581,638,0.4187,1,639,58
6,5,100,639,543,0.6347,1,676,37
7,6,100,676,580,0.6347,0,613,-63
8,7,100,613,600,0.5187,0,561,-52
9,8,100,561,579,0.4741,1,614,53
10,9,100,614,627,0.4813,1,666,52
11,10,100,666,682,0.4770,0,618,-48
12,11,100,618,603,0.5216,1,666,48
13,12,100,666,702,0.4484,0,621,-45
14,13,100,621,554,0.5952,0,561,-60
15,14,100,561,594,0.4527,0,516,-45
16,15,100,516,544,0.4598,1,570,54
17,16,100,570,560,0.5144,1,619,49
18,17,100,619,706,0.3773,1,681,62
19,18,100,681,772,0.3720,0,644,-37
20,19,100,644,732,0.3760,1,706,62
21,20,100,706,696,0.5144,0,655,-51
22,21,100,655,731,0.3923,1,716,61
23,22,100,716,649,0.5952,0,656,-60
24,23,100,656,620,0.5516,1,701,45
25,24,100,701,663,0.5545,0,646,-55
26,25,100,646,702,0.4201,1,704,58
27,26,100,704,766,0.4117,0,663,-41
28,27,100,663,676,0.4813,0,615,-48
29,28,100,615,691,0.3923,0,576,-39
30,29,100,576,639,0.4103,1,635,59
31,30,100,635,681,0.4342,1,692,57
32,31,100,692,712,0.4712,1,745,53
33,32,100,745,800,0.4215,1,800,55
34,33,100,800,726,0.6049,1,800,0
35,34,100,800,800,0.5000,0,750,-50
36,35,100,750,782,0.4541,0,705,-45
37,36,100,705,769,0.4089,0,664,-41
38,37,100,664,610,0.5771,0,606,-58
39,38,100,606,602,0.5058,1,655,49
40,39,100,655,623,0.5459,0,600,-55
41,40,100,600,541,0.5841,0,542,-58
42,41,100,542,543,0.4986,1,592,50
43,42,100,592,592,0.5000,0,542,-50
44,43,100,542,496,0.5658,1,585,43
45,44,100,585,529,0.5799,0,527,-58
46,45,100,527,461,0.5939,1,568,41
47,46,99,568,485,0.6172,0,507,-61
48,47,99,507,487,0.5288,0,455,-52
49,48,99,455,462,0.4899,1,505,50
50,49,99,505,438,0.5952,0,446,-59
51,50,98,446,402,0.5630,1,489,43
52,51,98,489,473,0.5230,1,536,47
53,52,98,536,505,0.5445,1,581,45
54,53,98,581,550,0.5445,1,626,45
55,54,97,626,689,0.4103,0,586,-40
56,55,97,586,627,0.4413,0,543,-43
57,56,97,543,566,0.4669,0,498,-45
58,57,97,498,575,0.3910,0,460,-38
59,58,96,460,456,0.5058,1,507,47
60,59,96,507,434,0.6035,1,545,38
61,60,96,545,496,0.5701,0,490,-55
62,61,96,490,474,0.5230,1,536,46
63,62,95,536,464,0.6022,0,479,-57
64,63,95,479,560,0.3855,1,537,58
65,64,95,537,454,0.6172,1,573,36
66,65,95,573,492,0.6145,1,610,37
67,66,94,610,616,0.4914,1,658,48
68,67,94,658,755,0.3639,0,624,-34
69,68,94,624,690,0.4061,0,586,-38
70,69,94,586,503,0.6172,1,622,36
71,70,93,622,720,0.3626,1,681,59
72,71,93,681,766,0.3801,1,739,58
73,72,93,739,719,0.5288,0,690,-49
74,73,93,690,670,0.5288,1,734,44
75,74,92,734,687,0.5672,1,774,40
76,75,92,774,800,0.4627,0,731,-43
77,76,92,731,728,0.5043,0,685,-46
78,77,92,685,618,0.5952,1,722,37
79,78,91,722,660,0.5883,1,759,37
80,79,91,759,779,0.4712,1,800,41
81,80,91,800,800,0.5000,1,800,0
82,81,91,800,800,0.5000,0,755,-45
83,82,90,755,711,0.5630,1,794,39
84,83,90,794,800,0.4914,0,750,-44
85,84,90,750,800,0.4285,0,711,-39
86,85,89,711,758,0.4328,0,672,-39
87,86,89,672,615,0.5813,1,709,37
88,87,89,709,694,0.5216,0,663,-46
89,88,89,663,637,0.5373,0,615,-48
90,89,88,615,614,0.5014,0,571,-44
91,90,88,571,494,0.6090,1,605,34
92,91,88,605,673,0.4034,0,570,-35
93,92,88,570,471,0.6387,1,602,32
94,93,87,602,652,0.4285,1,652,50
95,94,87,652,745,0.3693,0,620,-32
96,95,87,620,648,0.4598,0,580,-40
97,96,87,580,633,0.4243,0,543,-37
98,97,86,543,544,0.4986,1,586,43
99,98,86,586,604,0.4741,0,545,-41
100,99,86,545,532,0.5187,0,500,-45
101,100,86,500,563,0.4103,0,465,-35
102,101,85,465,399,0.5939,1,500,35
103,102,85,500,492,0.5115,0,457,-43
104,103,85,457,378,0.6118,1,490,33
105,104,85,490,392,0.6374,1,521,31
